team1,team2,team1_win,year,week,postseason,Att_x_team1,Cmp_team1,Cmp %_team1,Yds/Att_team1,Pass Yds_team1,TD_x_team1,INT_team1,Rate_team1,1st_team1,1st%_team1,20+_x_team1,40+_x_team1,Sck_team1,SckY_team1,Att_y_team1,Rush Yds_team1,YPC_team1,TD_y_team1,20+_y_team1,40+_y_team1,Rush 1st_team1,Rush 1st%_team1,Rush FUM_team1,FGM_team1,FG %_team1,XPM_team1,XP Pct_team1,KRet TD_team1,PRet T_team1,Att_x_team2,Cmp_team2,Cmp %_team2,Yds/Att_team2,Pass Yds_team2,TD_x_team2,INT_team2,Rate_team2,1st_team2,1st%_team2,20+_x_team2,40+_x_team2,Sck_team2,SckY_team2,Att_y_team2,Rush Yds_team2,YPC_team2,TD_y_team2,20+_y_team2,40+_y_team2,Rush 1st_team2,Rush 1st%_team2,Rush FUM_team2,FGM_team2,FG %_team2,XPM_team2,XP Pct_team2,KRet TD_team2,PRet T_team2,allowed_Att_x_team1,allowed_Cmp_team1,allowed_Cmp %_team1,allowed_Yds/Att_team1,allowed_Yds_team1,allowed_TD_x_team1,allowed_INT_x_team1,allowed_1st_team1,allowed_1st%_team1,allowed_Sck_team1,allowed_Att_y_team1,allowed_Rush Yds_team1,allowed_YPC_team1,allowed_TD_y_team1,allowed_Rush 1st_team1,allowed_Rush 1st%_team1,allowed_FF_team1,allowed_FR_team1,allowed_FR TD_team1,allowed_INT_y_team1,allowed_INT TD_team1,allowed_INT Yds_team1,allowed_Att_x_team2,allowed_Cmp_team2,allowed_Cmp %_team2,allowed_Yds/Att_team2,allowed_Yds_team2,allowed_TD_x_team2,allowed_INT_x_team2,allowed_1st_team2,allowed_1st%_team2,allowed_Sck_team2,allowed_Att_y_team2,allowed_Rush Yds_team2,allowed_YPC_team2,allowed_TD_y_team2,allowed_Rush 1st_team2,allowed_Rush 1st%_team2,allowed_FF_team2,allowed_FR_team2,allowed_FR TD_team2,allowed_INT_y_team2,allowed_INT TD_team2,allowed_INT Yds_team2
Broncos,Ravens,1,2013,1,0,675.0,461.0,68.3,8.2,5572.0,55.0,10.0,114.4,293.0,43.4,68.0,13.0,20.0,128.0,461.0,1873.0,4.1,16.0,9.0,1.0,107.0,23.2,10.0,25.0,96.2,75.0,100.0,1.0,1.0,619.0,363.0,58.6,6.3,3914.0,19.0,23.0,72.0,189.0,30.5,45.0,14.0,48.0,324.0,423.0,1328.0,3.1,7.0,5.0,1.0,68.0,16.1,2.0,38.0,92.7,26.0,100.0,1.0,1.0,613.0,357.0,58.2,6.6,4070.0,29.0,17.0,208.0,33.9,41.0,420.0,1626.0,3.9,15.0,90.0,21.4,16.0,9.0,1.0,17.0,1.0,141.0,552.0,314.0,56.9,6.7,3681.0,25.0,16.0,176.0,31.9,40.0,440.0,1687.0,3.8,7.0,79.0,18.0,14.0,7.0,0.0,16.0,1.0,160.0
Bills,Patriots,0,2013,1,0,522.0,299.0,57.3,6.5,3373.0,16.0,15.0,75.0,149.0,28.5,46.0,9.0,48.0,270.0,546.0,2307.0,4.2,15.0,11.0,5.0,113.0,20.7,12.0,33.0,91.7,32.0,100.0,0.0,0.0,628.0,380.0,60.5,6.9,4343.0,25.0,11.0,87.3,225.0,35.8,49.0,8.0,40.0,256.0,470.0,2065.0,4.4,19.0,12.0,2.0,109.0,23.2,10.0,38.0,92.7,44.0,100.0,0.0,0.0,561.0,310.0,55.3,5.8,3271.0,28.0,23.0,170.0,30.3,57.0,471.0,2063.0,4.4,10.0,98.0,20.8,12.0,6.0,1.0,23.0,2.0,289.0,589.0,336.0,57.0,6.5,3824.0,25.0,17.0,208.0,35.3,48.0,481.0,2145.0,4.5,11.0,110.0,22.9,11.0,12.0,1.0,17.0,2.0,220.0
Panthers,Seahawks,0,2013,1,0,473.0,292.0,61.7,7.1,3379.0,24.0,13.0,88.8,169.0,35.7,33.0,7.0,43.0,336.0,483.0,2026.0,4.2,14.0,10.0,2.0,122.0,25.3,3.0,24.0,88.9,42.0,100.0,0.0,0.0,420.0,267.0,63.6,8.4,3508.0,27.0,9.0,102.4,160.0,38.1,52.0,10.0,44.0,272.0,509.0,2188.0,4.3,14.0,11.0,1.0,116.0,22.8,6.0,33.0,94.3,44.0,100.0,0.0,0.0,563.0,375.0,66.6,6.1,3429.0,17.0,20.0,178.0,31.6,60.0,352.0,1391.0,4.0,4.0,70.0,19.9,11.0,9.0,0.0,20.0,4.0,234.0,524.0,309.0,59.0,5.2,2752.0,16.0,28.0,156.0,29.8,44.0,422.0,1626.0,3.8,4.0,83.0,19.7,17.0,10.0,1.0,28.0,3.0,385.0
Bears,Bengals,1,2013,1,0,579.0,373.0,64.4,7.7,4450.0,32.0,13.0,96.9,215.0,37.1,53.0,11.0,30.0,169.0,404.0,1828.0,4.5,13.0,13.0,5.0,102.0,25.2,4.0,26.0,89.7,45.0,97.8,0.0,1.0,587.0,364.0,62.0,7.4,4318.0,33.0,20.0,89.0,205.0,34.9,57.0,15.0,29.0,182.0,481.0,1755.0,3.6,14.0,5.0,0.0,101.0,21.0,7.0,18.0,81.8,52.0,98.1,0.0,0.0,507.0,315.0,62.1,7.4,3730.0,25.0,19.0,184.0,36.3,31.0,483.0,2583.0,5.4,22.0,147.0,30.4,19.0,8.0,1.0,19.0,5.0,428.0,614.0,362.0,59.0,5.4,3344.0,22.0,20.0,178.0,29.0,43.0,385.0,1544.0,4.0,6.0,72.0,18.7,13.0,11.0,1.0,20.0,4.0,200.0
Browns,Dolphins,0,2013,1,0,681.0,379.0,55.6,6.4,4372.0,26.0,20.0,75.7,200.0,29.4,52.0,14.0,49.0,325.0,348.0,1383.0,4.0,4.0,9.0,2.0,77.0,22.1,2.0,21.0,80.8,33.0,100.0,0.0,1.0,594.0,357.0,60.1,6.7,3966.0,24.0,19.0,80.1,205.0,34.5,47.0,11.0,58.0,399.0,349.0,1440.0,4.1,8.0,8.0,4.0,61.0,17.5,5.0,26.0,76.5,33.0,100.0,0.0,0.0,605.0,363.0,60.0,5.8,3538.0,29.0,14.0,197.0,32.6,40.0,462.0,1781.0,3.8,13.0,103.0,22.3,8.0,7.0,1.0,14.0,3.0,274.0,580.0,344.0,59.3,6.5,3752.0,17.0,18.0,192.0,33.1,42.0,484.0,1998.0,4.1,14.0,114.0,23.6,10.0,6.0,0.0,18.0,2.0,204.0
Lions,Vikings,1,2013,1,0,634.0,371.0,58.5,7.3,4650.0,29.0,19.0,84.2,221.0,34.9,62.0,10.0,23.0,168.0,445.0,1792.0,4.0,15.0,8.0,0.0,105.0,23.6,19.0,19.0,79.2,42.0,97.7,1.0,1.0,546.0,325.0,59.5,6.7,3645.0,18.0,19.0,76.0,173.0,31.7,54.0,7.0,44.0,218.0,423.0,2081.0,4.9,23.0,16.0,5.0,105.0,24.8,9.0,26.0,86.7,43.0,97.7,2.0,1.0,572.0,338.0,59.1,6.9,3950.0,24.0,15.0,197.0,34.4,33.0,377.0,1596.0,4.2,10.0,62.0,16.4,11.0,7.0,1.0,15.0,1.0,211.0,648.0,419.0,64.7,7.1,4595.0,37.0,12.0,247.0,38.1,41.0,443.0,1767.0,4.0,14.0,101.0,22.8,12.0,8.0,1.0,12.0,0.0,78.0
Colts,Raiders,1,2013,1,0,582.0,350.0,60.1,6.8,3952.0,23.0,10.0,86.5,191.0,32.8,45.0,10.0,32.0,227.0,409.0,1743.0,4.3,15.0,11.0,2.0,88.0,21.5,3.0,35.0,87.5,34.0,100.0,0.0,0.0,519.0,298.0,57.4,7.0,3629.0,17.0,20.0,73.9,168.0,32.4,48.0,8.0,44.0,289.0,437.0,2000.0,4.6,16.0,18.0,3.0,90.0,20.6,7.0,21.0,70.0,37.0,100.0,0.0,0.0,536.0,324.0,60.4,6.9,3711.0,21.0,15.0,191.0,35.6,42.0,448.0,2002.0,4.5,14.0,101.0,22.5,19.0,12.0,0.0,15.0,1.0,186.0,549.0,374.0,68.1,7.4,4092.0,33.0,9.0,202.0,36.8,38.0,442.0,1727.0,3.9,15.0,100.0,22.6,19.0,12.0,2.0,9.0,1.0,83.0
Jaguars,Chiefs,0,2013,1,0,592.0,349.0,59.0,6.3,3751.0,16.0,21.0,71.8,176.0,29.7,44.0,6.0,50.0,310.0,378.0,1260.0,3.3,7.0,7.0,2.0,71.0,18.8,5.0,23.0,92.0,22.0,95.6,0.0,0.0,546.0,333.0,61.0,6.5,3561.0,24.0,8.0,88.6,179.0,32.8,45.0,7.0,41.0,221.0,442.0,2056.0,4.6,17.0,13.0,1.0,110.0,24.9,8.0,22.0,78.6,52.0,100.0,2.0,2.0,551.0,354.0,64.2,7.2,3962.0,29.0,11.0,200.0,36.3,31.0,507.0,2108.0,4.2,20.0,121.0,23.9,15.0,10.0,1.0,11.0,1.0,172.0,592.0,334.0,56.4,6.7,3962.0,25.0,21.0,189.0,31.9,47.0,428.0,1923.0,4.5,9.0,88.0,20.6,13.0,15.0,2.0,21.0,5.0,488.0
Jets,Buccaneers,1,2013,1,0,480.0,266.0,55.4,6.8,3270.0,13.0,22.0,66.6,154.0,32.1,47.0,6.0,47.0,338.0,493.0,2158.0,4.4,12.0,14.0,2.0,105.0,21.3,7.0,33.0,91.7,27.0,100.0,0.0,0.0,514.0,291.0,56.6,6.2,3181.0,22.0,12.0,79.6,157.0,30.5,39.0,7.0,47.0,361.0,420.0,1612.0,3.8,6.0,9.0,2.0,75.0,17.9,6.0,23.0,79.3,31.0,100.0,0.0,0.0,586.0,345.0,58.9,6.7,3947.0,26.0,13.0,198.0,33.8,41.0,421.0,1412.0,3.4,9.0,68.0,16.2,10.0,2.0,0.0,13.0,1.0,167.0,547.0,352.0,64.4,7.0,3806.0,30.0,21.0,190.0,34.7,35.0,438.0,1762.0,4.0,10.0,95.0,21.7,15.0,10.0,0.0,21.0,3.0,338.0
Saints,Falcons,1,2013,1,0,651.0,446.0,68.5,7.9,5162.0,39.0,12.0,104.5,244.0,37.5,67.0,15.0,37.0,244.0,391.0,1473.0,3.8,10.0,7.0,0.0,87.0,22.2,1.0,24.0,75.0,48.0,100.0,0.0,0.0,659.0,445.0,67.5,6.9,4541.0,26.0,17.0,89.5,227.0,34.4,44.0,9.0,44.0,298.0,321.0,1247.0,3.9,11.0,6.0,2.0,64.0,19.9,1.0,24.0,88.9,39.0,100.0,0.0,0.0,507.0,304.0,60.0,6.1,3105.0,20.0,12.0,168.0,33.1,49.0,387.0,1786.0,4.6,11.0,82.0,21.2,13.0,7.0,0.0,12.0,0.0,169.0,516.0,341.0,66.1,7.6,3897.0,31.0,10.0,196.0,38.0,32.0,455.0,2173.0,4.8,14.0,102.0,22.4,13.0,10.0,1.0,10.0,2.0,176.0
